En->X spBLEU,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,AVG
InternLM2.5,7B,44.6878482,53.91630409,63.8680832,62.02227754,56.61023233,22.66465278,10.38602186,53.59541557,37.24358518,31.93224891,29.94425434,11.47080702,19.35854231,39.23448889,5.645126727,8.203449298,34.4
Qwen2.5,7B,53.07356471,58.46109001,69.50544618,65.97011889,58.04355052,30.54645647,32.82751194,59.24687649,48.00527451,45.05922474,40.40548467,46.65074784,37.32110638,64.37783208,18.71653914,14.29532593,46.4
DeepSeek-R1-Distill-Qwen,7B,16.34248411,25.14174458,30.78630255,30.69133382,26.00312289,7.463815968,11.92330063,38.69262197,11.72659627,7.880589884,7.777130518,9.676227229,15.20780594,18.70310152,7.524882335,7.185505467,17.0
Llama3.1,8B,60.45675197,63.84303687,71.62744424,69.26975781,63.73875186,36.33930401,48.71284457,55.85282615,48.85242637,49.29483449,48.47350502,51.68209756,50.89347077,66.73977834,36.18254473,41.03213693,53.9
DeepSeek-R1-Distill-Llama,8B,15.39173245,20.6245292,20.64450901,22.89383156,14.58009205,11.41934042,2.7230453,19.8410915,10.58187692,10.0021313,13.95664679,11.9310368,15.13072523,15.44744845,5.453299465,5.903811362,13.5
Aya-Expanse,8B,57.74119708,58.11950365,66.14651379,64.67627683,58.22117087,23.91007092,25.25543484,50.98122122,48.29338134,52.19335561,55.8665267,29.11349354,27.8923218,64.60716518,24.2103778,21.96537816,45.6
Gemma2,9B,60.51722173,64.11938253,72.32145097,71.04476471,64.69803232,47.95017412,45.40639349,59.74342909,52.56782909,56.97841123,55.62812918,55.31738157,52.40997416,70.07530768,51.15731599,39.71472567,57.5
InternLM2.5,20B,41.15213697,47.07346454,57.8033617,50.78176774,47.74130224,29.38765534,9.128248433,48.47787691,37.8417142,38.94416402,35.13792739,25.07984358,23.80763215,45.64751163,11.9324645,8.668548985,34.9
Gemma2,27B,68.71853822,69.43762658,76.36724663,73.94120689,70.95606109,62.81580395,54.50180472,66.60824415,58.5384593,63.08929426,64.88017721,63.4917358,60.35598348,76.79494156,59.06601465,47.30255835,64.8
Aya-Expanse,32B,66.64454765,65.38945072,72.3496166,71.86832366,67.98404226,38.45571618,35.28620204,59.93849228,55.99219227,60.00365739,63.94520572,41.65900326,42.46181013,73.36955045,30.53113192,31.32897815,54.8
Qwen2.5,32B,60.6718287,64.35715403,74.50839094,71.65972886,66.17537441,43.02807849,49.44564373,63.26612013,54.79630522,51.17738144,43.77883365,50.77208665,47.49674843,63.68226642,31.47878006,31.49917189,54.2
DeepSeek-R1-Distill-Qwen,32B,44.59248057,49.9780874,45.0250097,50.23059601,48.4546088,26.45570419,25.48074898,48.4508693,45.7614411,39.85969618,31.32240054,41.49114867,29.49423751,41.46213512,13.77725559,11.58564976,37.1
Llama3.1,70B,69.10424722,70.21775064,75.33501967,74.29463247,70.08529983,62.01100331,61.52564747,60.17362795,56.55634919,59.91450695,61.62408731,59.8903526,62.27115683,77.3327129,55.64887087,55.51483478,64.5
Llama3.3,70B,68.46241245,68.68817949,73.2277885,72.33526045,70.29575846,60.20887739,59.97053088,59.5985484,56.28597661,60.61539696,60.04847429,59.57751644,59.8314345,74.82245175,56.90133505,55.58806086,63.5
DeepSeek-R1-Distill-Llama,70B,52.60823062,56.97778658,63.45145962,61.56583878,49.99151279,44.29201986,43.75620514,40.5293745,41.20555223,37.8352472,38.72505599,46.00381586,46.8378474,54.93492835,40.8644687,41.50500993,47.6
Qwen2.5,72B,65.63431006,66.65140628,74.42722357,73.80127926,70.64150827,53.78602464,53.14152168,64.26490491,57.50156037,61.51314651,63.77803958,61.63905147,53.17200871,74.5232632,36.53562136,34.66926373,60.4
DeepSeek-V3,671B,74.76714501,74.20952456,79.77355563,78.53964425,75.56301992,71.44376799,63.85910869,63.1682025,64.36783332,69.69799921,73.40144289,66.95205146,65.91750094,80.67338115,63.52598334,59.58645397,70.3
gpt-4o-mini-2024-07-18,,74.352614,73.28167163,80.23940324,78.39687545,74.14316266,62.80965719,58.84114335,66.29552067,62.03225721,67.11680049,71.65485002,63.61913407,64.35330187,79.66202622,60.05906241,46.5953099,67.7
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
X->En spBLEU,Size,cs->en,de->en,es->en,fr->en,ru->en,sr->en,bn->en,zh->en,ja->en,ko->en,ar->en,th->en,hu->en,vi->en,sw->en,te->en,AVG
InternLM2.5,7B,65.15524483,67.19721907,68.6465978,67.01875871,64.0122706,56.76104619,43.2738884,56.91461305,51.24982902,51.9339834,54.22067101,44.54073327,54.88987459,58.49486777,30.3771397,29.40865594,54.0
Qwen2.5,7B,66.16274198,65.3140194,69.90363574,67.0158008,64.35593312,66.53614199,57.5915648,57.70054029,53.43085602,57.56628945,62.21004282,57.13258557,57.62555316,63.90263015,45.16100798,48.30331827,60.0
DeepSeek-R1-Distill-Qwen,7B,31.25369824,32.78205406,30.41623766,34.86701004,31.71305652,29.25644697,22.51501323,31.6527603,22.1339723,25.14560667,28.18667842,28.26919615,25.89790779,28.54703911,18.42319047,15.91285255,27.3
Llama3.1,8B,68.43563114,68.18531714,72.43027777,69.90450622,66.00997633,68.03559774,60.39890939,58.29967772,52.96119517,55.2057252,63.43454905,57.21047846,61.65318045,65.91249021,60.62948964,58.19459897,62.9
DeepSeek-R1-Distill-Llama,8B,24.00326088,25.81701151,27.05837409,27.50381167,20.90518374,22.67065578,17.30257707,27.98505075,23.10478639,21.27134323,23.47889577,23.33472539,26.66416429,20.18925731,23.76647576,15.11829643,23.1
Aya-Expanse,8B,61.40536591,59.97832555,65.81288411,62.06928442,56.00927664,56.12263173,43.84867054,50.73572203,47.19001693,49.49325846,58.92429125,41.25127507,48.90857462,57.82788803,34.66584715,30.63373841,51.6
Gemma2,9B,65.50251688,65.29733195,68.87599399,65.11152852,62.62984203,68.51615759,60.01006692,55.86864118,53.01183629,55.14032779,63.12908861,57.54956954,60.59075072,64.0649065,65.53022334,60.36228598,61.9
InternLM2.5,20B,63.9343923,61.87622702,64.39583938,61.53642438,61.61437947,57.63467978,40.5919095,55.34746069,51.78777946,54.46828624,56.00196175,46.09348778,56.18481819,59.70784133,42.3276645,29.37715734,53.9
Gemma2,27B,69.2164662,69.28704934,73.5733557,68.96326936,66.78125945,71.09245874,66.04139815,61.03941718,57.56303342,60.90371564,66.96722975,61.01403233,65.29430499,67.0328479,68.32900256,66.24773604,66.2
Aya-Expanse,32B,68.27281234,68.0830171,71.0564835,68.30846659,65.61273626,67.79702722,60.95803113,59.34316589,56.25216844,58.20129048,65.4921635,54.63662328,61.47728559,64.94616423,55.72952909,50.38123478,62.3
Qwen2.5,32B,69.46755848,66.92478274,72.9625701,68.35156843,67.28885279,70.54381926,65.88353766,61.81066694,58.39108088,61.77424823,66.15328675,61.41902258,63.71223914,68.76983541,60.55615799,62.65862815,65.4
DeepSeek-R1-Distill-Qwen,32B,45.60003306,37.5221184,35.46689576,35.99273471,39.02451816,42.33257259,42.93368521,38.48162437,36.47677763,36.2664009,43.55794826,39.49206924,37.95014137,29.47217035,29.60311668,32.90554572,37.7
Llama3.1,70B,72.34858592,70.98905271,74.66000244,70.67296476,68.77610468,73.00201786,69.62720797,61.9211407,58.13176083,61.97323711,68.61549664,62.89987676,68.11917271,70.24043532,70.41305486,69.42842099,68.2
