ifeval_ter,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,cs->en,de->en,es->en,fr->en,ru->en,sr->en,bn->en,zh->en,ja->en,ko->en,ar->en,th->en,hu->en,vi->en,sw->en,te->en
InternLM2.5,7B,102.3286672,78.84648103,72.38622619,89.15847896,72.61154578,87.5935083,103.0895827,149.7748815,144.693229,146.7509305,129.288443,141.0086569,147.9516773,103.5205926,306.6032709,100.7728894,34.61099703,37.90212183,62.40018252,44.62696783,42.44239106,36.96098563,62.2347707,100.4848277,74.1615332,63.97444673,42.72187999,61.76135067,45.97878166,49.89162674,85.89436459,87.49714807
Qwen2.5,7B,84.82717442,71.87092384,65.7582401,76.69316733,81.56269824,98.11715481,97.78757219,80.82543444,104.6003422,130.1954094,100.0506283,152.4199895,93.18088664,72.65628486,143.5442882,105.6171225,54.58590007,73.25462012,61.22518823,64.15126626,71.28108601,33.81245722,49.11019849,87.73100616,81.67351129,59.10335387,63.02190281,65.26351814,42.21994068,67.54506046,57.99110198,58.19073694
Llama3.1,8B,64.38665163,81.08659899,68.91631388,72.62056551,72.63057729,119.4116901,70.46332885,104.5774092,107.4505011,135.7630273,87.29921296,102.544596,83.18196527,88.69751461,111.0812805,74.21878716,33.70978782,34.41706594,37.11498973,31.64499201,48.773671,30.12776637,35.88866073,44.8380105,52.2587269,49.03034451,35.13004791,48.02076204,38.20442619,32.58042437,37.81086014,37.67967146
Aya-Expanse,8B,109.9316659,102.3592128,87.73435138,100.3693842,98.51342779,90.38290858,99.72860307,88.68878357,95.78098264,109.2509305,88.67998343,100.6754984,119.0292309,101.8294587,128.3088085,93.39595719,75.13689254,62.9192334,72.27355692,80.43577458,104.9167237,38.88888889,47.04540269,77.86333561,104.1581109,75.45630846,61.91535478,52.05909195,42.80173397,70.65366188,64.16267397,74.03604837
Gemma2,9B,104.9757845,98.69562752,99.03991533,92.15667892,101.057306,109.6297705,114.8009032,112.6698262,113.5321437,122.4953474,105.5668063,158.7355719,99.08316255,92.78925528,95.93187687,120.2996433,66.96326717,71.05863564,86.99520876,83.33333333,77.84052019,38.07894136,63.94592745,84.14898471,74.78895734,73.05498517,55.32740132,61.20807666,66.33013917,55.69815195,38.71206936,65.9650924
InternLM2.5,20B,174.3183175,217.6884251,223.5995615,242.9385735,141.0742229,134.4807912,124.9750315,274.3048973,247.1082865,195.2388337,148.0531136,183.3683106,246.3488297,143.2332337,271.8715416,109.098692,51.37462925,145.8818161,217.0203057,159.1603924,99.27561031,40.92516541,63.36413415,218.6059776,120.1973534,62.33744011,53.79876797,57.39219713,53.54779831,63.19872234,67.63632215,86.02555327
Gemma2,27B,83.08896703,80.57619237,76.7066072,79.07260182,81.02347219,67.92823634,96.41973164,87.68562401,89.89489122,106.1336849,82.45961246,140.0052466,86.85794413,78.81843737,81.19440915,93.82401902,59.89048597,55.64111339,60.29545973,65.54871093,70.55099247,38.8489619,48.92767511,65.31485284,67.00319416,58.15080995,59.65662788,65.52019165,63.48391513,71.69746749,37.74241387,45.94455852
Aya-Expanse,32B,60.06103629,66.51165428,60.09978833,58.3439586,60.79932332,61.44288069,74.00017369,53.80331754,76.0889758,83.47549628,68.26529203,87.25734523,73.52604897,45.83017268,92.79009714,81.44589774,57.03285421,52.75496235,71.30960529,63.71777321,66.455624,32.1241159,37.66826375,57.04426192,66.61533196,67.40246407,62.9192334,47.98083504,40.48596851,63.54095368,42.11156742,52.64658909
Llama3.1,70B,133.3045844,114.5692735,112.6247354,114.3084827,123.2417001,95.49258273,67.00464632,188.5584518,156.396969,180.435794,124.4557463,141.0086569,105.9820947,113.078399,122.6523753,69.24613555,38.50673055,46.98836413,62.31462469,53.0971937,60.03308236,27.47547342,22.72416153,67.89869952,95.15172256,63.07894136,42.02600958,50.09696555,39.94980607,52.43554643,28.08008214,34.58247775
Qwen2.5,72B,108.0806741,112.1476776,107.9188086,96.61741544,94.94819201,95.73348548,103.6953407,130.1184834,165.3972134,125.9305211,91.48294748,107.0697796,128.348614,88.12190442,142.3330737,104.6325803,53.99840292,75.18822724,96.9028063,80.84074835,78.08008214,43.25233858,33.69267625,91.02213096,67.61921059,59.73077801,70.80766598,57.02715035,50.86128223,61.23659594,37.55418663,43.38923112
