,,,,,,,,,,,,,,,,,,,,,,
,Size,en,cs,de,es,fr,ru,sr,bn,zh,ja,ko,ar,th,hu,vi,sw,te,avg,STD,GAP,max
InternLM2.5,7B,0.646,0.433,0.543,0.579,0.555,0.567,0.409,0.293,0.604,0.5,0.463,0.39,0.372,0.409,0.463,0.232,0.262,0.454,0.121330583,0.204,0.646
Qwen2.5,7B,0.738,0.713,0.738,0.756,0.768,0.75,0.707,0.622,0.72,0.707,0.689,0.695,0.683,0.707,0.726,0.457,0.421,0.682,0.097643635,0.063,0.768
DeepSeek-R1-Distill-Qwen,7B,0.7805,0.7256,0.7744,0.7439,0.7866,0.7622,0.7195,0.6768,0.628,0.6768,0.7317,0.7317,0.6951,0.6829,0.689,0.4329,0.5488,0.693,0.089616978,0.093,0.787
Llama3.1,8B,0.604,0.518,0.579,0.579,0.561,0.598,0.549,0.463,0.591,0.549,0.463,0.512,0.506,0.506,0.561,0.421,0.439,0.529,0.057019669,0.079,0.604
DeepSeek-R1-Distill-Llama,8B,0.7317,0.6463,0.7134,0.7134,0.7134,0.6829,0.6402,0.5244,0.622,0.6402,0.6646,0.561,0.6585,0.628,0.7134,0.4268,0.3902,0.628,0.099413629,0.111,0.732
Aya-Expanse,8B,0.421,0.421,0.378,0.415,0.409,0.415,0.317,0.256,0.354,0.366,0.366,0.378,0.207,0.268,0.348,0.22,0.207,0.338,0.077504839,0.088,0.421
Gemma2,9B,0.61,0.53,0.598,0.573,0.579,0.53,0.518,0.5,0.555,0.549,0.524,0.524,0.573,0.53,0.573,0.451,0.445,0.539,0.045539091,0.076,0.610
InternLM2.5,20B,0.634,0.537,0.598,0.543,0.537,0.585,0.5,0.354,0.598,0.616,0.512,0.47,0.451,0.506,0.543,0.378,0.335,0.512,0.089758049,0.130,0.634
Gemma2,27B,0.72,0.683,0.701,0.707,0.701,0.72,0.713,0.64,0.659,0.695,0.64,0.683,0.72,0.665,0.689,0.573,0.598,0.677,0.043082599,0.046,0.720
Aya-Expanse,32B,0.646,0.585,0.622,0.598,0.604,0.555,0.494,0.39,0.543,0.604,0.555,0.555,0.384,0.463,0.524,0.36,0.366,0.520,0.094721379,0.133,0.646
Qwen2.5,32B,0.8232,0.7683,0.7683,0.7683,0.7988,0.7927,0.7561,0.7378,0.8171,0.7622,0.7805,0.7561,0.7683,0.75,0.7622,0.6463,0.6341,0.758,0.049927912,0.069,0.823
DeepSeek-R1-Distill-Qwen,32B,0.8415,0.8354,0.8537,0.872,0.8415,0.8232,0.8232,0.7988,0.7622,0.8171,0.8354,0.8232,0.811,0.811,0.8354,0.6402,0.6768,0.806,0.060703249,0.040,0.872
Llama3.1,70B,0.744,0.701,0.75,0.713,0.732,0.707,0.732,0.671,0.732,0.707,0.701,0.707,0.732,0.689,0.695,0.64,0.488,0.697,0.060299376,0.051,0.750
Llama3.3,70B,0.7805,0.7439,0.7378,0.7561,0.7439,0.7866,0.75,0.7439,0.7622,0.7378,0.7378,0.75,0.7317,0.7256,0.7439,0.6829,0.6646,0.740,0.029644774,0.043,0.787
DeepSeek-R1-Distill-Llama,70B,0.8841,0.872,0.8476,0.8659,0.8902,0.8293,0.8537,0.8598,0.7866,0.8415,0.8293,0.8659,0.8902,0.8415,0.8354,0.7866,0.7988,0.846,0.032666533,0.041,0.890
Qwen2.5,72B,0.811,0.78,0.817,0.805,0.829,0.811,0.811,0.793,0.78,0.799,0.787,0.78,0.744,0.799,0.823,0.713,0.677,0.786,0.040221629,0.029,0.829
DeepSeek-V3,671B,0.872,0.86,0.841,0.841,0.829,0.841,0.835,0.817,0.823,0.86,0.805,0.835,0.841,0.829,0.848,0.78,0.787,0.832,0.024428467,0.043,0.872
gpt-4o-mini-2024-07-18,,0.829,0.799,0.793,0.793,0.841,0.829,0.787,0.78,0.811,0.799,0.774,0.768,0.768,0.787,0.817,0.713,0.695,0.787,0.038045252,0.045,0.841
gpt-4o-2024-08-06,,0.8537,0.8354,0.75,0.811,0.8232,0.8049,0.8232,0.7927,0.8293,0.8293,0.7988,0.7805,0.811,0.7866,0.811,0.7134,0.7683,0.801,0.034375734,0.056,0.854
,,,,,,,,,,,,,,,,,,,,,,
Llama3.2,1B,0.311,0.189,0.2378,0.2439,0.2195,0.2439,0.189,0.1646,0.2134,0.2073,0.1951,0.189,0.2317,0.1585,0.2073,0.1524,0.1402,0.206,0.041806406,,
Llama3.2,3B,0.4817,0.4146,0.4451,0.439,0.4817,0.4512,0.3354,0.3598,0.439,0.4085,0.3049,0.3537,0.4024,0.3841,0.4268,0.2805,0.3232,0.396,0.060822298,,
Gemma3,1B,0.378,0.2561,0.2988,0.3476,0.3049,0.2622,0.2195,0.2073,0.25,0.2744,0.2256,0.2561,0.2195,0.1524,0.2805,0.1524,0.2012,0.252,0.060563924,,
Gemma3,4B,0.6098,0.5976,0.6159,0.5976,0.6341,0.6098,0.5549,0.5549,0.5732,0.5732,0.5427,0.5793,0.4939,0.5427,0.5732,0.4024,0.4695,0.560,0.058813769,,
