,Size,en,cs,de,es,fr,ru,sr,bn,zh,ja,ko,ar,th,hu,vi,sw,te,avg,STD,GAP,max
InternLM2.5,7B,0.644,0.524,0.58,0.616,0.532,0.588,0.28,0.004,0.732,0.34,0.556,0.24,0.076,0.24,0.388,0,0.012,0.374,0.24636988,0.293,0.732
Qwen2.5,7B,0.812,0.64,0.692,0.732,0.632,0.656,0.632,0.6,0.768,0.7,0.768,0.7,0.7,0.596,0.732,0.14,0.272,0.634,0.173465033,0.190,0.812
DeepSeek-R1-Distill-Qwen,7B,0.788,0.548,0.736,0.696,0.644,0.692,0.54,0.544,0.772,0.5,0.592,0.552,0.536,0.424,0.62,0.072,0.28,0.561,0.179507824,0.241,0.788
Llama3.1,8B,0.772,0.624,0.668,0.728,0.66,0.7,0.636,0.512,0.696,0.616,0.704,0.628,0.704,0.528,0.688,0.58,0.34,0.634,0.102029984,0.146,0.772
DeepSeek-R1-Distill-Llama,8B,0.824,0.52,0.552,0.596,0.544,0.548,0.46,0.264,0.708,0.492,0.548,0.392,0.364,0.432,0.584,0.036,0.104,0.469,0.197130593,0.378,0.824
Aya-Expanse,8B,0.796,0.648,0.624,0.672,0.612,0.632,0.424,0.24,0.688,0.644,0.7,0.656,0.184,0.332,0.66,0.068,0.06,0.508,0.238614629,0.306,0.796
Gemma2,9B,0.764,0.736,0.744,0.736,0.616,0.7,0.716,0.708,0.748,0.72,0.768,0.704,0.752,0.744,0.74,0.688,0.648,0.720,0.04027114,0.048,0.768
InternLM2.5,20B,0.656,0.588,0.64,0.668,0.464,0.52,0.34,0.036,0.772,0.492,0.628,0.336,0.18,0.376,0.496,0.08,0.028,0.429,0.233464949,0.249,0.772
Gemma2,27B,0.804,0.764,0.756,0.76,0.632,0.74,0.804,0.756,0.772,0.74,0.784,0.788,0.764,0.76,0.764,0.692,0.728,0.753,0.04149557,0.054,0.804
Aya-Expanse,32B,0.88,0.748,0.74,0.792,0.68,0.752,0.668,0.564,0.784,0.784,0.796,0.76,0.536,0.608,0.784,0.252,0.204,0.667,0.187829397,0.227,0.880
Qwen2.5,32B,0.84,0.784,0.8,0.808,0.68,0.772,0.824,0.796,0.84,0.824,0.916,0.828,0.8,0.78,0.816,0.532,0.572,0.777,0.096734324,0.072,0.916
DeepSeek-R1-Distill-Qwen,32B,0.868,0.792,0.828,0.832,0.792,0.856,0.784,0.792,0.848,0.84,0.868,0.836,0.852,0.732,0.848,0.348,0.424,0.773,0.150562475,0.101,0.868
Llama3.1,70B,0.828,0.796,0.82,0.812,0.688,0.832,0.82,0.736,0.844,0.816,0.876,0.816,0.824,0.808,0.82,0.856,0.552,0.797,0.076292009,0.039,0.876
Llama3.3,70B,0.848,0.868,0.828,0.872,0.8,0.824,0.872,0.796,0.876,0.876,0.904,0.864,0.9,0.884,0.828,0.844,0.556,0.838,0.079196702,0.029,0.904
DeepSeek-R1-Distill-Llama,70B,0.856,0.852,0.856,0.828,0.804,0.856,0.836,0.796,0.84,0.764,0.864,0.888,0.832,0.844,0.836,0.76,0.76,0.828,0.038169899,0.033,0.888
Qwen2.5,72B,0.852,0.8,0.792,0.816,0.752,0.764,0.82,0.832,0.82,0.824,0.884,0.832,0.744,0.804,0.816,0.576,0.504,0.778,0.096933573,0.080,0.884
DeepSeek-V3,671B,0.872,0.812,0.844,0.9,0.764,0.88,0.836,0.764,0.828,0.836,0.908,0.892,0.86,0.8,0.892,0.776,0.848,0.842,0.04669299,0.039,0.908
gpt-4o-mini-2024-07-18,,0.82,0.78,0.744,0.788,0.692,0.744,0.796,0.732,0.812,0.78,0.848,0.828,0.764,0.768,0.78,0.692,0.704,0.769,0.046336366,0.057,0.848
,,,,,,,,,,,,,,,,,,,,,,
InternLM3,8B,0.788,0.332,0.584,0.636,0.596,0.568,0.176,0.016,0.752,0.512,0.544,0.408,0.272,0.336,0.428,0.012,0.02,0.411,0.247555817,0.401,0.788
Llama3.2,1B,0.436,0.076,0.26,0.324,0.272,0.288,0.064,0.076,0.308,0.18,0.136,0.076,0.236,0.088,0.248,0.152,0.1,0.195,0.11080826,0.256,0.436
Llama3.2,3B,0.744,0.416,0.604,0.6,0.572,0.58,0.304,0.476,0.6,0.332,0.492,0.396,0.56,0.436,0.592,0.472,0.336,0.501,0.120135218,0.259,0.744
Gemma3,1B,0.46,0.22,0.244,0.296,0.236,0.228,0.14,0.176,0.256,0.188,0.16,0.248,0.208,0.088,0.264,0.032,0.128,0.210,0.093862854,0.266,0.460
Gemma3,4B,0.78,0.62,0.648,0.708,0.536,0.612,0.648,0.5,0.648,0.56,0.632,0.668,0.664,0.6,0.656,0.42,0.576,0.616,0.082382894,0.174,0.780
