,Size,en,cs,de,es,fr,ru,sr,bn,zh,ja,ko,ar,th,hu,vi,sw,te,avg,STD,GAP,max
InternLM2.5,7B,4.5 ,1.7 ,3.2 ,2.7 ,2.8 ,3.0 ,1.2 ,0.4 ,4.5 ,2.0 ,1.5 ,0.9 ,0.3 ,1.4 ,0.8 ,0.5 ,0.4 ,1.9 ,1.4 ,2.8 ,4.5 
Qwen2.5,7B,17.1 ,6.9 ,10.6 ,12.9 ,13.3 ,12.5 ,5.4 ,4.9 ,12.8 ,7.5 ,6.5 ,8.5 ,7.3 ,5.5 ,8.7 ,0.8 ,3.4 ,8.5 ,4.2 ,9.1 ,17.1 
DeepSeek-R1-Distill-Qwen,7B,4.7 ,1.6 ,4.2 ,2.9 ,2.8 ,3.4 ,2.0 ,3.5 ,3.6 ,2.5 ,3.8 ,2.5 ,2.5 ,2.4 ,2.8 ,0.9 ,4.7 ,3.0 ,1.0 ,1.8 ,4.7 
Llama3.1,8B,7.7 ,3.6 ,4.1 ,4.9 ,4.9 ,6.2 ,3.5 ,2.3 ,5.0 ,3.4 ,2.9 ,3.7 ,2.6 ,4.1 ,4.0 ,2.0 ,8.8 ,4.3 ,1.8 ,3.6 ,8.8 
DeepSeek-R1-Distill-Llama,8B,5.3 ,3.5 ,3.0 ,4.4 ,3.1 ,4.0 ,3.7 ,2.5 ,4.5 ,2.2 ,3.1 ,2.6 ,2.7 ,3.7 ,2.9 ,1.7 ,5.9 ,3.5 ,1.1 ,2.0 ,5.9 
Aya-Expanse,8B,7.9 ,9.0 ,8.8 ,9.0 ,9.0 ,9.7 ,3.8 ,0.9 ,8.0 ,7.5 ,8.4 ,12.2 ,0.7 ,1.2 ,8.8 ,0.7 ,3.1 ,6.4 ,3.8 ,2.3 ,12.2 
Gemma2,9B,10.7 ,8.9 ,9.4 ,8.1 ,9.3 ,9.6 ,9.3 ,8.5 ,8.8 ,7.4 ,7.2 ,8.3 ,11.2 ,8.9 ,7.7 ,10.8 ,22.7 ,9.8 ,3.5 ,1.7 ,22.7 
InternLM2.5,20B,8.2 ,2.3 ,4.2 ,4.4 ,5.0 ,5.1 ,2.4 ,0.7 ,6.8 ,4.2 ,2.3 ,1.5 ,1.1 ,2.1 ,2.2 ,0.6 ,2.9 ,3.3 ,2.1 ,5.2 ,8.2 
Gemma2,27B,17.2 ,14.9 ,15.7 ,17.3 ,14.7 ,18.0 ,14.8 ,17.9 ,15.1 ,14.1 ,14.5 ,17.3 ,19.6 ,17.4 ,14.9 ,21.5 ,40.8 ,18.0 ,6.2 ,1.2 ,40.8 
Aya-Expanse,32B,15.3 ,16.9 ,17.6 ,14.8 ,15.0 ,18.2 ,9.0 ,7.1 ,16.0 ,12.2 ,14.2 ,15.4 ,4.7 ,7.9 ,14.7 ,1.4 ,9.9 ,12.4 ,4.9 ,3.6 ,18.2 
Qwen2.5,32B,26.0 ,18.4 ,20.8 ,20.4 ,22.0 ,21.1 ,16.5 ,12.7 ,18.7 ,15.2 ,15.2 ,17.4 ,14.3 ,17.3 ,16.5 ,5.4 ,15.7 ,17.3 ,4.5 ,9.3 ,26.0 
DeepSeek-R1-Distill-Qwen,32B,22.1 ,19.1 ,21.8 ,24.0 ,20.9 ,22.2 ,11.9 ,16.9 ,21.8 ,24.1 ,19.3 ,20.1 ,20.9 ,19.2 ,21.4 ,7.8 ,12.7 ,19.2 ,4.5 ,3.3 ,24.1 
Llama3.1,70B,18.1 ,12.7 ,13.6 ,13.3 ,10.8 ,15.0 ,12.4 ,10.5 ,13.3 ,8.0 ,10.8 ,11.1 ,11.1 ,15.0 ,11.7 ,13.0 ,23.3 ,13.2 ,3.5 ,5.6 ,23.3 
Llama3.3,70B,21.2 ,15.6 ,18.9 ,16.6 ,20.1 ,23.4 ,17.9 ,12.6 ,18.7 ,12.6 ,9.5 ,12.8 ,13.2 ,16.3 ,13.8 ,16.0 ,29.6 ,17.0 ,4.8 ,5.1 ,29.6 
DeepSeek-R1-Distill-Llama,70B,24.6 ,28.8 ,26.6 ,30.0 ,21.2 ,27.1 ,20.3 ,24.2 ,27.1 ,25.0 ,21.7 ,23.4 ,26.0 ,27.2 ,24.7 ,28.8 ,45.5 ,26.6 ,5.6 ,0.8 ,45.5 
Qwen2.5,72B,41.9 ,39.1,41.5 ,44.0 ,39.8 ,45.0 ,38.6 ,35.2 ,35.7 ,34.4 ,32.7 ,43.6 ,39.4 ,36.7 ,36.3 ,12.4 ,31.5 ,36.9 ,7.4 ,5.7 ,45.0 
DeepSeek-V3,671B,64.3 ,59.3 ,57.2 ,65.1 ,58.0 ,64.0 ,59.8 ,59.0 ,56.3 ,51.7 ,54.3 ,62.3 ,62.4 ,58.5 ,53.7 ,56.8 ,73.4 ,59.8 ,5.2 ,5.4 ,73.4 
gpt-4o-mini-2024-07-18,,27.9 ,19.9 ,23.1 ,23.4 ,19.9 ,24.3 ,22.8 ,16.1 ,20.2 ,16.8 ,17.4 ,23.4 ,17.9 ,23.4 ,18.3 ,22.2 ,34.8 ,21.9 ,4.6 ,6.8 ,34.8 
gpt-4o-2024-08-06,,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,0.0 ,0.0 ,50.0 
