,Size,en,cs,de,es,fr,ru,sr,bn,zh,ja,ko,ar,th,hu,vi,sw,te,avg,STD,GAP,max
InternLM2.5,7B,0.1464,0.1108,0.1309,0.1407,0.1377,0.1231,0.0847,0.0663,0.1286,0.1296,0.1028,0.0874,0.0812,0.0986,0.1048,0.0365,0.0337,0.103,0.034,0.0466,0.146
Qwen2.5,7B,0.3035,0.2403,0.2624,0.2592,0.2757,0.278,0.2496,0.2188,0.2759,0.261,0.241,0.2505,0.2568,0.237,0.2651,0.1362,0.1827,0.247,0.039,0.0604,0.304
DeepSeek-R1-Distill-Qwen,7B,0.4547,0.3983,0.4058,0.4237,0.4206,0.415,0.3879,0.348,0.3309,0.4157,0.3889,0.3698,0.3884,0.3561,0.4195,0.1565,0.2599,0.373,0.072,0.0869,0.455
Llama3.1,8B,0.1816,0.1467,0.1494,0.1665,0.1767,0.1589,0.1376,0.1123,0.153,0.1481,0.1321,0.1271,0.1414,0.1316,0.1567,0.093,0.0927,0.141,0.025,0.0426,0.182
DeepSeek-R1-Distill-Llama,8B,0.3665,0.2504,0.2722,0.2795,0.2857,0.2827,0.2408,0.1557,0.267,0.2415,0.23,0.2447,0.2281,0.2139,0.2861,0.0985,0.0959,0.238,0.068,0.1370,0.367
Aya-Expanse,8B,0.0985,0.0957,0.0937,0.099,0.1104,0.094,0.0661,0.0466,0.0872,0.1039,0.0857,0.0952,0.0447,0.062,0.0913,0.0226,0.0237,0.078,0.028,0.0233,0.110
Gemma2,9B,0.1787,0.1697,0.1742,0.169,0.1829,0.1738,0.1769,0.1647,0.1694,0.1612,0.1464,0.1614,0.161,0.1684,0.1701,0.1523,0.1428,0.166,0.011,0.0137,0.183
InternLM2.5,20B,0.1973,0.1529,0.1662,0.1938,0.1829,0.1722,0.1318,0.0736,0.1886,0.1832,0.1583,0.1307,0.1227,0.1429,0.1445,0.0561,0.0456,0.144,0.047,0.0569,0.197
Gemma2,27B,0.2586,0.2557,0.2567,0.2606,0.2624,0.2617,0.2588,0.2306,0.2464,0.229,0.2255,0.2373,0.247,0.2464,0.2616,0.2209,0.2174,0.246,0.016,0.0145,0.262
Aya-Expanse,32B,0.1769,0.1799,0.1668,0.1757,0.1874,0.1719,0.1609,0.1366,0.178,0.1719,0.1638,0.1755,0.1501,0.154,0.1603,0.09,0.0884,0.158,0.029,0.0209,0.187
Qwen2.5,32B,0.4544,0.4213,0.4401,0.4463,0.439,0.4351,0.44,0.4171,0.4387,0.4331,0.4203,0.4222,0.4292,0.4121,0.447,0.3621,0.3975,0.427,0.022,0.0293,0.454
DeepSeek-R1-Distill-Qwen,32B,0.5899,0.5736,0.5735,0.5745,0.5648,0.4567,0.5631,0.5575,0.4344,0.5686,0.5682,0.577,0.5718,0.5487,0.5806,0.4721,0.4682,0.544,0.050,0.0491,0.590
Llama3.1,70B,0.3174,0.3083,0.3067,0.3077,0.3157,0.3129,0.3098,0.2738,0.308,0.2902,0.2881,0.2886,0.29,0.301,0.3034,0.2783,0.2626,0.298,0.016,0.0208,0.317
Llama3.3,70B,0.3714,0.367,0.3627,0.3628,0.3624,0.3543,0.3583,0.3208,0.3597,0.3502,0.324,0.3474,0.3443,0.3432,0.3467,0.3255,0.3066,0.347,0.018,0.0254,0.371
DeepSeek-R1-Distill-Llama,70B,0.3499,0.5644,0.5854,0.5815,0.5621,0.5741,0.5534,0.5502,0.479,0.5752,0.5691,0.5802,0.5691,0.5705,0.5696,0.5464,0.5285,0.548,0.057,0.0000,0.585
Qwen2.5,72B,0.4879,0.459,0.4597,0.4687,0.478,0.4781,0.4564,0.4377,0.4746,0.4597,0.4405,0.4502,0.4468,0.4628,0.4578,0.3842,0.4271,0.455,0.024,0.0353,0.488
DeepSeek-V3,671B,0.6223,0.6135,0.6018,0.5993,0.608,0.615,0.608,0.5971,0.61,0.6025,0.5996,0.5961,0.6067,0.6021,0.6144,0.5886,0.5885,0.604,0.009,0.0191,0.622
gpt-4o-mini-2024-07-18,,0.3933,0.3889,0.3764,0.3818,0.3736,0.3816,0.3763,0.3576,0.3805,0.3896,0.3675,0.3634,0.3551,0.3391,0.3811,0.3467,0.3344,0.370,0.018,0.0250,0.393
,,,,,,,,,,,,,,,,,,,,,,
Llama3.2,1B,0.0539,0.0175,0.0222,0.0349,0.0332,0.0273,0.0074,0.0081,0.0367,0.0224,0.0144,0.0173,0.0216,0.0129,0.0245,0.0066,0.0034,0.021,0.013,0.0345,0.054
Llama3.2,3B,0.1244,0.0902,0.0888,0.1028,0.1101,0.1112,0.0672,0.0651,0.0975,0.0881,0.0752,0.0752,0.0861,0.0631,0.0892,0.0496,0.055,0.085,0.021,0.0423,0.124
Gemma3,1B,0.0349,0.0247,0.0237,0.0234,0.0302,0.0255,0.0129,0.0178,0.0161,0.0202,0.0178,0.0192,0.0187,0.0094,0.0191,0.0076,0.0123,0.020,0.007,0.0162,0.035
Gemma3,4B,0.2007,0.1787,0.1797,0.1966,0.1847,0.1766,0.1718,0.1445,0.1808,0.1714,0.1569,0.1655,0.17,0.1621,0.1749,0.1358,0.139,0.170,0.018,0.0326,0.201
