,Size,en,cs,de,es,fr,ru,sr,bn,zh,ja,ko,ar,th,hu,vi,sw,te,avg,STD,GAP,max
InternLM2.5,7B,0.6613,0.51725,0.62025,0.615525,0.575425,0.513175,0.346875,0.2562,0.618875,0.535125,0.507125,0.376375,0.29265,0.368425,0.43675,0.264,0.2713,0.4574,0.140333104,0.217,0.661
Qwen2.5,7B,0.802225,0.70155,0.769175,0.777525,0.764025,0.712575,0.605125,0.56385,0.758025,0.7226,0.697325,0.684075,0.669925,0.614475,0.729425,0.266175,0.3578,0.6586,0.146288904,0.153,0.802
DeepSeek-R1-Distill-Qwen,7B,0.6516,0.48555,0.5589,0.576025,0.601875,0.54735,0.411675,0.344575,0.5872,0.43195,0.460475,0.472825,0.457675,0.3986,0.469075,0.210275,0.27575,0.4671,0.117381928,0.196,0.652
Llama3.1,8B,0.81655,0.66305,0.74315,0.728275,0.75665,0.67835,0.596975,0.46595,0.680275,0.6156,0.600725,0.643975,0.606375,0.601625,0.6361,0.437475,0.36685,0.6258,0.116171018,0.203,0.817
DeepSeek-R1-Distill-Llama,8B,0.694275,0.53565,0.624175,0.642625,0.59955,0.5991,0.379,0.26705,0.6218,0.51865,0.474975,0.554325,0.47675,0.480425,0.539975,0.252075,0.18835,0.4970,0.146443893,0.210,0.694
Aya-Expanse,8B,0.711625,0.615125,0.666,0.66995,0.659,0.5783,0.363275,0.25285,0.641025,0.642975,0.56755,0.644575,0.321875,0.381375,0.569175,0.217175,0.19995,0.5119,0.178478214,0.212,0.712
Gemma2,9B,0.702875,0.6224,0.65135,0.686,0.704175,0.658975,0.566975,0.54415,0.634575,0.63225,0.6316,0.6472,0.636525,0.6164,0.64275,0.6069,0.51785,0.6296,0.05029103,0.078,0.704
InternLM2.5,20B,0.748625,0.573775,0.68385,0.660775,0.656275,0.589875,0.37255,0.283175,0.69875,0.59135,0.555475,0.50705,0.363,0.48295,0.55735,0.271425,0.23025,0.5192,0.160998001,0.244,0.749
Gemma2,27B,0.697,0.621875,0.6279,0.66475,0.66465,0.618275,0.6101,0.58425,0.627525,0.590525,0.615775,0.615575,0.6289,0.621825,0.638875,0.607175,0.566775,0.6236,0.031169778,0.078,0.697
Aya-Expanse,32B,0.769775,0.6734,0.74235,0.71905,0.7369,0.695175,0.55485,0.426375,0.699875,0.75375,0.684225,0.69875,0.495775,0.579875,0.69145,0.295375,0.297875,0.6185,0.153494233,0.161,0.770
