,Size,en,cs,de,es,fr,ru,sr,bn,zh,ja,ko,ar,th,hu,vi,sw,te,avg,STD,GAP,max
InternLM2.5,7B,66.6667,56.9182,56.2893,60.6918,60.6918,60.3774,53.4591,39.3082,62.8931,59.7484,57.8616,49.0566,51.2579,48.1132,52.8302,31.1321,36.7925,53.2,9.8,14.3,66.7
Qwen2.5,7B,54.0881,51.2579,48.1132,48.7421,49.6855,52.2013,50.6289,46.2264,52.2013,50.3145,53.4591,51.8868,50.3145,50,52.5157,36.1635,33.0189,48.9,5.7,5.5,54.1
DeepSeek-R1-Distill-Qwen,7B,40.8805,28.3019,28.6164,33.0189,33.9623,30.5031,25.1572,22.0126,30.8176,33.0189,34.5912,30.8176,26.7296,20.7547,24.5283,10.3774,16.0377,27.7,7.4,14.1,40.9
Llama3.1,8B,48.7421,44.3396,46.2264,44.9686,44.9686,45.283,43.3962,44.9686,46.5409,45.283,46.2264,45.9119,45.9119,43.3962,44.9686,40.566,44.0252,45.0,1.7,3.9,48.7
DeepSeek-R1-Distill-Llama,8B,46.5409,38.3648,44.0252,39.9371,44.0252,41.5094,37.7358,22.6415,45.5975,36.7925,43.0818,37.1069,40.566,36.1635,36.478,21.3836,21.0692,37.2,8.1,9.9,46.5
Aya-Expanse,8B,53.1447,48.1132,45.5975,47.7987,45.9119,48.4277,38.3648,26.1006,47.1698,45.9119,46.2264,44.6541,36.1635,33.9623,44.9686,19.8113,26.7296,41.1,9.4,12.8,53.1
Gemma2,9B,66.6667,65.0943,64.7799,64.1509,65.7233,64.4654,61.3208,54.0881,60.6918,61.6352,61.9497,58.805,60.0629,59.1195,60.3774,53.7736,61.6352,61.4,3.7,5.6,66.7
InternLM2.5,20B,27.9874,27.3585,29.5597,28.9308,28.3019,26.7296,27.044,18.8679,33.9623,31.4465,31.4465,28.6164,25.4717,25.4717,29.8742,15.0943,16.3522,26.6,5.2,2.6,34.0
Gemma2,27B,71.0692,66.0377,66.9811,66.6667,67.2956,67.2956,64.4654,56.6038,64.7799,63.8365,66.0377,64.7799,64.4654,65.7233,63.522,58.805,61.6352,64.7,3.4,6.8,71.1
Aya-Expanse,32B,68.5535,61.3208,65.0943,62.5786,66.6667,64.7799,58.805,51.8868,61.6352,64.1509,61.9497,62.2642,55.9748,55.6604,62.2642,45.283,47.7987,59.8,6.5,9.3,68.6
Qwen2.5,32B,72.956,65.4088,64.1509,66.0377,67.9245,71.3836,64.4654,62.5786,68.5535,68.8679,70.7547,69.8113,71.0692,66.0377,67.6101,55.3459,61.3208,66.7,4.4,6.6,73.0
DeepSeek-R1-Distill-Qwen,32B,65.7233,60.6918,61.3208,62.5786,64.1509,63.2075,63.522,57.8616,62.2642,62.8931,61.3208,59.1195,59.434,62.2642,64.1509,44.3396,51.8868,60.4,5.2,5.7,65.7
Llama3.1,70B,44.9686,43.7107,43.0818,44.6541,43.7107,44.9686,45.283,43.0818,44.6541,43.3962,43.3962,44.3396,45.5975,44.0252,44.0252,44.9686,45.283,44.3,0.8,0.8,45.6
Llama3.3,70B,44.3396,41.8239,43.3962,43.7107,42.7673,43.0818,42.1384,42.4528,43.3962,39.3082,42.1384,43.0818,43.0818,40.8805,44.3396,41.8239,40.8805,42.5,1.3,1.9,44.3
DeepSeek-R1-Distill-Llama,70B,61.3208,62.5786,61.0063,63.522,59.7484,67.9245,66.0377,57.8616,66.3522,63.8365,64.4654,60.3774,65.7233,58.805,65.0943,51.5723,60.0629,62.1,4.0,1.2,67.9
Qwen2.5,72B,69.1824,61.3208,62.5786,61.6352,63.2075,63.2075,63.522,60.6918,64.4654,61.3208,66.0377,63.522,61.3208,63.2075,61.9497,45.9119,57.5472,61.8,4.8,7.8,69.2
DeepSeek-V3,671B,71.6981,67.9245,69.4969,68.8679,69.8113,68.5535,69.1824,68.8679,72.0126,69.4969,70.1258,70.4403,70.1258,70.1258,69.8113,61.3208,69.1824,69.2,2.3,2.6,72.0
gpt-4o-mini-2024-07-18,,76.7296,71.6981,69.8113,68.5535,72.956,73.8994,71.6981,65.0943,71.6981,71.6981,72.0126,71.6981,70.7547,69.4969,72.6415,67.6101,67.6101,70.9,2.7,6.2,76.7
